Дата,Ежедневное изменение,от 2 до 7 дн.,от 8 до 30 дн.,от 31 до 90 дн.,от 91 до 180 дн.,от 181 дн. до 1 года
2024-06-28,1581,—,—,—,—,—
2024-06-27,1562,—,—,—,—,—
2024-06-26,1568,—,—,—,—,—
2024-06-25,1555,—,—,—,—,—
2024-06-24,1539,—,—,—,—,—
2024-06-21,1528,—,—,—,—,—
2024-06-20,1542,—,—,—,—,—
2024-06-19,1550,—,—,—,—,—
2024-06-18,1565,—,—,—,—,—
2024-06-17,1569,—,—,—,—,—
2024-06-14,1577,—,—,—,—,—
2024-06-13,1575,—,—,—,—,—
2024-06-11,1571,—,—,—,—,—
2024-06-10,1592,—,—,—,—,—
2024-06-07,1612,—,—,—,—,—
2024-06-06,1618,—,—,—,—,—
2024-06-05,1612,—,—,—,—,—
2024-06-04,1575,—,—,—,—,—
2024-06-03,1607,—,—,—,—,—
2024-05-31,1613,—,—,—,—,—
2024-05-30,1601,—,—,—,—,—
2024-05-29,1598,—,—,—,—,—
2024-05-28,1600,—,—,—,—,—
2024-05-27,1592,—,—,—,—,—
2024-05-24,1592,—,—,—,—,—
2024-05-23,1596,—,—,—,—,—
2024-05-22,1596,—,—,—,—,—
2024-05-21,1596,—,—,—,—,—
2024-05-20,1596,—,—,—,—,—
2024-05-17,1608,—,—,—,—,—
2024-05-16,1595,—,—,—,—,—
2024-05-15,1606,—,—,—,—,—
2024-05-14,1613,—,—,—,—,—
2024-05-13,1596,—,—,—,—,—
2024-05-08,1613,—,—,—,—,—
2024-05-07,1623,—,—,—,—,—
2024-05-06,1615,—,—,—,—,—
2024-05-03,1602,—,—,—,—,—
2024-05-02,1588,1605,—,—,—,—
2024-04-27,1587,—,—,—,—,—
2024-04-26,1575,—,—,—,—,—
2024-04-25,1563,—,—,—,—,—
2024-04-24,1561,—,—,—,—,—
2024-04-23,1575,—,—,—,—,—
2024-04-22,1570,—,—,—,—,—
2024-04-19,1579,—,—,—,—,—
2024-04-18,1578,—,—,—,—,—
2024-04-17,1576,—,—,—,—,—
2024-04-16,1570,—,—,—,—,—
2024-04-15,1564,—,—,—,—,—
2024-04-12,1577,—,—,—,—,—
2024-04-11,1570,—,—,—,—,—
2024-04-10,1567,—,—,—,—,—
2024-04-09,1594,—,—,—,—,—
2024-04-08,1588,—,—,—,—,—
2024-04-05,1576,—,—,—,—,—
2024-04-04,1567,—,—,—,—,—
2024-04-03,1561,—,—,—,—,—
2024-04-02,1544,—,—,—,—,—
2024-04-01,1554,—,—,—,—,—
2024-03-29,1602,—,—,—,—,—
2024-03-28,1530,—,—,—,—,—
2024-03-27,1525,—,—,—,—,—
2024-03-26,1547,—,—,—,—,—
2024-03-25,1524,—,—,—,—,—
2024-03-22,1528,—,—,—,—,—
2024-03-21,1526,—,—,—,—,—
2024-03-20,1554,—,—,—,—,—
2024-03-19,1551,—,—,—,—,—
2024-03-18,1558,—,—,—,—,—
2024-03-15,1560,—,—,—,—,—
2024-03-14,1565,—,—,—,—,—
2024-03-13,1560,—,—,—,—,—
2024-03-12,1599,—,—,—,—,—
2024-03-11,1587,—,—,—,—,—
2024-03-07,1571,—,—,—,—,—
2024-03-06,1545,—,—,—,—,—
2024-03-05,1526,—,—,—,—,—
2024-03-04,1538,—,—,—,—,—
2024-03-01,1538,—,—,—,—,—
2024-02-29,1572,—,—,—,—,—
2024-02-28,1562,—,—,—,—,—
2024-02-27,1562,—,—,—,—,—
2024-02-26,1565,—,—,—,—,—
2024-02-22,1569,—,—,—,—,—
2024-02-21,1570,—,—,—,—,—
2024-02-20,1571,—,—,—,—,—
2024-02-19,1566,—,—,—,—,—
2024-02-16,1566,—,—,—,—,—
2024-02-15,1568,—,—,—,—,—
2024-02-14,1563,—,—,—,—,—
2024-02-13,1578,—,—,—,—,—
2024-02-12,1593,—,—,—,—,—
2024-02-09,1590,—,—,—,—,—
2024-02-08,1579,—,—,—,—,—
2024-02-07,1588,1620,—,—,—,—
2024-02-06,1597,—,—,—,—,—
2024-02-05,1598,—,—,—,—,—
2024-02-02,1595,—,—,—,—,—
2024-02-01,1577,—,—,—,—,—
2024-01-31,1593,—,—,—,—,—
2024-01-30,1605,—,—,—,—,—
2024-01-29,1602,1651,—,—,—,—
2024-01-26,1562,—,—,—,—,—
2024-01-25,1598,—,—,1747,—,—
2024-01-24,1594,—,—,—,—,—
2024-01-23,1591,—,—,—,—,—
2024-01-22,1581,—,—,—,—,—
2024-01-19,1581,—,—,—,—,—
2024-01-18,1562,—,—,—,—,—
2024-01-17,1559,—,—,—,—,—
2024-01-16,1545,—,—,—,—,—
2024-01-15,1536,—,—,—,—,—
2024-01-12,1512,—,—,—,—,—
2024-01-11,1518,—,—,—,—,—
2024-01-10,1528,—,1679,—,—,—
2024-01-09,1553,1643,—,—,—,—
2023-12-29,1575,—,—,—,—,—
2023-12-28,1533,—,1634,—,—,—
2023-12-27,1526,—,1620,—,—,—
2023-12-26,1526,—,—,—,—,—
2023-12-25,1531,—,—,—,—,—
2023-12-22,1562,—,—,—,—,—
2023-12-21,1535,—,—,—,—,—
2023-12-20,1547,—,—,—,—,—
2023-12-19,1547,—,—,—,—,—
2023-12-18,1566,—,—,1659,—,—
2023-12-15,1571,—,—,—,—,—
2023-12-14,1539,—,—,—,—,—
2023-12-13,1515,—,—,—,—,—
2023-12-12,1500,1609,—,—,—,—
2023-12-11,1494,—,—,—,—,—
2023-12-08,1445,—,—,—,—,—
2023-12-07,1451,—,—,—,—,—
2023-12-06,1451,—,—,—,—,—
2023-12-05,1459,—,1597,—,—,—
2023-12-04,1476,—,—,—,—,—
2023-12-01,1486,—,—,—,—,—
2023-11-30,1489,—,—,—,—,—
2023-11-29,1504,—,—,—,—,—
2023-11-28,1515,—,1604,—,—,—
2023-11-27,1516,—,—,—,—,—
2023-11-24,1517,—,—,—,—,—
2023-11-23,1500,—,—,—,—,—
2023-11-22,1512,—,—,—,—,—
2023-11-21,1509,—,—,—,—,—
2023-11-20,1499,—,—,—,—,—
2023-11-17,1498,—,—,—,—,—
2023-11-16,1499,—,—,—,—,—
2023-11-15,1472,—,—,—,—,—
2023-11-14,1485,—,—,—,—,—
2023-11-13,1478,—,—,—,—,—
2023-11-10,1469,—,—,—,—,—
2023-11-09,1446,—,—,—,—,—
2023-11-08,1424,—,—,—,—,—
2023-11-07,1418,—,—,—,—,—
2023-11-03,1424,—,—,—,—,—
2023-11-02,1433,—,—,—,—,—
2023-11-01,1439,—,—,—,—,—
2023-10-31,1449,—,—,—,—,—
2023-10-30,1467,—,—,—,—,—
2023-10-27,1273,—,—,—,—,—
2023-10-26,1263,—,—,—,—,—
2023-10-25,1285,—,—,—,—,—
2023-10-24,1307,—,—,—,—,—
2023-10-23,1306,—,—,—,—,—
2023-10-20,1312,—,—,—,—,—
2023-10-19,1314,—,—,—,—,—
2023-10-18,1318,—,—,—,—,—
2023-10-17,1311,—,—,—,—,—
2023-10-16,1310,1419,—,—,—,—
2023-10-13,1307,—,—,—,—,—
2023-10-12,1369,—,—,—,—,—
2023-10-11,1399,—,—,—,—,—
2023-10-10,1314,—,—,—,—,—
2023-10-09,1303,—,—,—,—,—
2023-10-06,1253,—,—,—,—,—
2023-10-05,1252,—,—,—,—,—
2023-10-04,1251,—,—,—,—,—
2023-10-03,1256,—,—,—,—,—
2023-10-02,1268,—,—,—,—,—
2023-09-29,1263,—,—,—,—,—
2023-09-28,1275,—,—,—,—,—
2023-09-27,1252,—,—,—,—,—
2023-09-26,1238,—,—,—,—,—
2023-09-25,1237,—,—,—,—,—
2023-09-22,1237,—,—,—,—,—
2023-09-21,1246,—,—,—,—,—
2023-09-20,1259,—,—,—,—,—
2023-09-19,1252,—,1314,—,—,—
2023-09-18,1268,—,—,—,—,—
2023-09-15,1236,—,—,—,—,—
2023-09-14,1260,—,—,—,—,—
2023-09-13,1254,—,—,—,—,—
2023-09-12,1210,—,—,—,—,—
2023-09-11,1194,—,—,—,—,—
2023-09-08,1185,—,—,—,—,—
2023-09-07,1192,—,—,—,—,—
2023-09-06,1193,—,—,—,—,—
2023-09-05,1206,—,1269,—,—,—
2023-09-04,1199,—,—,—,—,—
2023-09-01,1193,—,—,—,—,—
2023-08-31,1197,—,—,—,—,—
2023-08-30,1195,—,—,—,—,—
2023-08-29,1192,—,—,—,—,—
2023-08-28,1186,—,—,—,—,—
2023-08-25,1195,1239,—,—,—,—
2023-08-24,1194,—,—,—,—,—
2023-08-23,1189,—,—,—,—,—
2023-08-22,1185,—,—,—,—,—
2023-08-21,1183,—,—,—,—,—
2023-08-18,1179,—,—,—,—,—
2023-08-17,1180,—,—,—,—,—
2023-08-16,1186,1213,—,—,—,—
2023-08-15,1163,—,—,—,—,—
2023-08-14,850,—,—,—,—,—
2023-08-11,840,—,—,—,—,—
2023-08-10,837,—,—,—,—,—
2023-08-09,832,850,—,—,—,—
2023-08-08,851,—,—,—,—,—
2023-08-07,827,—,—,934,—,—
2023-08-04,820,—,—,—,—,—
2023-08-03,829,—,—,—,—,—
2023-08-02,836,889,—,—,—,—
2023-08-01,848,895,—,—,—,—
2023-07-31,840,—,942,—,—,—
2023-07-28,835,—,—,—,—,—
2023-07-27,846,—,—,—,—,—
2023-07-26,831,—,—,—,—,—
2023-07-25,816,—,—,—,—,—
2023-07-24,824,—,—,—,—,—
2023-07-21,826,—,—,—,—,—
2023-07-20,797,—,—,—,—,—
2023-07-19,791,—,—,—,—,—
2023-07-18,773,—,—,—,—,—
2023-07-17,803,—,—,—,—,—
2023-07-14,775,—,—,—,—,—
2023-07-13,766,—,—,—,—,—
2023-07-12,753,—,—,—,—,—
2023-07-11,765,—,—,—,—,—
2023-07-10,764,—,819,—,—,—
2023-07-07,740,—,—,—,—,—
2023-07-06,739,—,—,—,—,—
2023-07-05,734,—,—,—,—,—
2023-07-04,733,—,—,—,—,—
2023-07-03,732,—,—,—,—,—
2023-06-30,749,773,—,—,—,—
2023-06-29,745,—,—,—,—,—
2023-06-28,740,—,—,—,—,—
2023-06-27,720,788,—,—,—,—
2023-06-26,724,—,—,—,—,—
2023-06-23,715,—,—,—,—,—
2023-06-22,716,—,—,—,—,—
2023-06-21,724,—,—,—,—,—
2023-06-20,722,—,—,—,—,—
2023-06-19,725,—,—,—,—,—
2023-06-16,734,—,—,—,—,—
2023-06-15,736,—,—,—,—,—
2023-06-14,738,—,—,—,—,—
2023-06-13,731,—,—,—,—,—
2023-06-09,735,—,—,—,—,—
2023-06-08,738,794,—,—,—,—
2023-06-07,741,—,—,—,—,—
2023-06-06,755,—,—,—,—,—
2023-06-05,761,—,—,—,—,—
2023-06-02,758,—,—,—,—,—
2023-06-01,757,—,—,—,—,—
2023-05-31,757,—,—,—,—,—
2023-05-30,749,—,—,—,—,—
2023-05-29,740,—,—,—,—,—
2023-05-26,736,—,—,—,—,—
2023-05-25,727,—,—,—,—,—
2023-05-24,734,754,—,—,—,—
2023-05-23,720,—,—,—,—,—
2023-05-22,730,—,—,—,—,—
2023-05-19,732,—,—,—,—,—
2023-05-18,731,—,—,—,—,—
2023-05-17,736,—,—,—,—,—
2023-05-16,741,—,—,—,—,—
2023-05-15,740,—,—,—,—,—
2023-05-12,680,—,—,—,—,—
2023-05-11,691,—,—,—,—,—
2023-05-10,697,768,—,—,—,—
2023-05-05,688,—,—,—,—,—
2023-05-04,714,—,—,—,—,—
2023-05-03,739,—,—,—,—,—
2023-05-02,765,—,787,—,—,—
2023-04-28,765,—,—,—,—,—
2023-04-27,679,—,—,—,—,—
2023-04-26,677,—,—,—,—,—
2023-04-25,692,—,—,—,—,—
2023-04-24,696,—,—,—,—,—
2023-04-21,722,—,—,—,—,—
2023-04-20,728,—,—,—,—,—
2023-04-19,728,—,—,—,—,—
2023-04-18,741,—,—,—,—,—
2023-04-17,740,—,—,—,—,—
2023-04-14,732,—,—,—,—,—
